club_name,club_url,season,Games Played,Goals,Goals Conceded,Shots,Shots On Target,penalties,penalties_scored,Free Kicks Scored,Hit Woodwork,crosses,cross_accuracy,Interceptions,Blocks,Clearances,penalties_saved,penalty_save_precentage,Passes,long_passes,long_pass_accuracy,Corners Taken,dribble_attempts,dribble_accuracy,Duels Won,Aerial Duels Won,Red Cards,Yellow Cards,Fouls,Offsides,Own Goals,free_kicks_taken,free_kicks_scored,XG,Shots On Target Inside the Box,Shots On Target Outside the Box,Touches in the Opposition Box
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2023/2024,38,91,29,456,228,10,10,6,13,410,24,292,106,481,1,33,21052,1554,47,266,587,48,1791,515,2,62,391,87,5,0,0,0.0,0,0,0
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2023/2024,38,76,61,382,191,4,4,0,12,457,21,236,113,562,1,50,17876,1630,49,233,660,52,1700,340,2,94,412,47,4,15,1,0.0,0,0,0
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2023/2024,38,54,67,370,185,3,2,18,13,455,24,357,153,788,1,14,14204,2282,40,236,796,48,2034,596,3,79,507,56,2,0,0,0.0,0,0,0
Brentford,https://www.premierleague.com/en/clubs/94/brentford/stats,2023/2024,38,56,65,344,172,3,3,0,13,520,25,378,142,865,0,0,15223,2223,43,185,513,47,1971,643,2,89,385,70,2,17,2,0.0,0,0,0
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2023/2024,38,55,62,416,208,6,5,11,11,466,22,288,140,572,0,0,23547,1496,53,206,619,48,1801,410,3,91,414,84,5,0,0,0.0,0,0,0
Burnley,https://www.premierleague.com/en/clubs/90/burnley/stats,2023/2024,38,41,78,284,142,3,3,13,6,377,18,280,169,823,1,14,16447,2211,39,181,629,48,1821,576,7,71,429,76,1,0,0,0.0,0,0,0
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2023/2024,38,77,63,430,215,12,11,0,17,388,18,298,166,731,1,20,21926,1705,52,203,764,52,1952,449,4,105,446,85,1,22,1,0.0,0,0,0
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2023/2024,38,57,58,338,169,4,4,0,8,370,21,324,122,867,0,0,15261,2086,39,178,661,52,2109,563,2,69,457,72,1,20,1,0.0,0,0,0
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2023/2024,38,40,51,324,162,3,2,0,18,533,19,357,177,839,0,0,13764,2388,44,181,517,48,2030,694,1,80,457,89,0,14,1,0.0,0,0,0
Fulham,https://www.premierleague.com/en/clubs/54/fulham/stats,2023/2024,38,55,61,360,180,2,2,14,19,536,21,371,117,716,0,0,18587,2018,48,212,503,54,1801,495,4,78,384,51,1,0,0,0.0,0,0,0
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2023/2024,38,86,41,554,277,9,6,0,25,516,22,292,108,565,0,0,22515,1883,51,287,662,50,1967,591,5,65,463,100,6,18,1,0.0,0,0,0
Luton Town,https://www.premierleague.com/en/clubs/102/luton-town/stats,2023/2024,38,52,85,282,141,5,5,0,13,562,20,325,183,868,0,0,13337,2245,39,204,685,52,2091,646,0,71,443,67,3,11,1,43.36,140,91,830
Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/stats,2023/2024,38,96,34,556,278,10,9,0,11,469,23,233,75,420,0,0,26251,1605,62,286,659,57,1629,332,2,52,289,42,2,25,3,0.0,0,0,0
Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/stats,2023/2024,38,57,58,386,193,7,6,15,9,404,18,313,207,833,0,0,18071,1939,46,225,614,51,1763,441,1,81,401,91,0,0,0,56.93,186,124,1109
Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/stats,2023/2024,38,85,62,426,213,9,8,9,13,446,24,285,151,651,1,20,18231,1757,46,193,644,55,1938,457,1,77,386,59,2,0,0,77.08,192,91,1178
Nottingham Forest,https://www.premierleague.com/en/clubs/17/nottingham-forest/stats,2023/2024,38,49,67,296,148,1,1,7,15,405,20,331,168,910,0,0,14177,1942,43,148,543,51,1958,598,3,78,428,77,0,0,0,0.0,0,0,0
Sheffield United,https://www.premierleague.com/en/clubs/49/sheffield-united/stats,2023/2024,38,35,104,258,129,5,5,8,7,259,23,348,180,997,0,0,12230,2231,34,142,537,47,1864,605,5,95,423,64,4,0,0,0.0,0,0,0
Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/stats,2023/2024,38,74,61,430,215,2,2,11,18,509,18,355,132,652,0,0,22496,1219,51,235,722,50,1953,368,4,89,425,83,5,0,0,0.0,0,0,0
West Ham United,https://www.premierleague.com/en/clubs/21/west-ham-united/stats,2023/2024,38,60,74,308,154,5,4,17,15,459,19,361,180,862,2,20,14732,2076,42,168,674,52,2005,580,3,76,390,71,2,0,0,0.0,0,0,0
Wolverhampton Wanderers,https://www.premierleague.com/en/clubs/39/wolverhampton-wanderers/stats,2023/2024,38,50,65,320,160,4,4,12,12,399,19,284,173,786,0,0,17636,2005,40,158,739,56,2000,448,4,100,476,78,3,0,0,47.58,137,87,795
